```txt
RONIN_INDEX.txt
(45 Ronin Mutant Portrait Specs — filenames + origin House + gene-code + formal/common + triggers)

# Notes:
# - These are the SAME 45 mutations, but DISOWNED (Ronin).
# - “Ronin slurs” are status-trigger insults used by elites/loyalists:
#   Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag
# - Each Ronin still has its original Contempt-Flag “genetic slurs” (two per type) that spike agitation.
# - Accent rule stays: EXACTLY ONE toxic accent dot (dim/flickering), matching origin House color family.

[01] portrait_ronin_vesperin_peregrine_cutthroat_v01.png | Origin House: Vesperin | Code: AER-PRG | Formal: Vesperin AER-PRG “Falconid Praetorian” | Common: Peregrine Cutthroat | Genetic Slurs: Clipwing; Noble Bird | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Peregrine Falcon
[02] portrait_ronin_vesperin_barn_owl_lanternseer_v01.png | Origin House: Vesperin | Code: AER-STR | Formal: Vesperin AER-STR “Strigiform Seer-Unit” | Common: Lanternseer | Genetic Slurs: Softbeak; Hush-Freak | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Barn Owl
[03] portrait_ronin_vesperin_harpy_eagle_talon_knight_v01.png | Origin House: Vesperin | Code: AER-HRP | Formal: Vesperin AER-HRP “Crown-Talon Dominus” | Common: Talon Knight | Genetic Slurs: Meat-Kite; Perch-Born | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Harpy Eagle
[04] portrait_ronin_vesperin_vampire_bat_nocturne_v01.png | Origin House: Vesperin | Code: AER-NCT | Formal: Vesperin AER-NCT “Nocturne Hemal Scout” | Common: Nocturne | Genetic Slurs: Ragwing; Sipper | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Vampire Bat
[05] portrait_ronin_vesperin_cassowary_butcher_v01.png | Origin House: Vesperin | Code: AER-CSW | Formal: Vesperin AER-CSW “Casque-Butcher Shockline” | Common: Cassowary Butcher | Genetic Slurs: Knife-Chicken; Cresthead | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Cassowary

[06] portrait_ronin_calderoux_rhino_bulwark_v01.png | Origin House: Calderoux | Code: BRX-RHN | Formal: Calderoux BRX-RHN “Horn-Bulwark Asset” | Common: Rhino Bulwark | Genetic Slurs: Brickhorn; Plowface | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Rhinoceros
[07] portrait_ronin_calderoux_hippo_mauler_v01.png | Origin House: Calderoux | Code: BRX-HPP | Formal: Calderoux BRX-HPP “River-Jaw Mauler” | Common: Hippo Mauler | Genetic Slurs: Mudmaw; Ditch-Hog | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Hippopotamus
[08] portrait_ronin_calderoux_komodo_reaver_v01.png | Origin House: Calderoux | Code: BRX-KMD | Formal: Calderoux BRX-KMD “Varanid Reaver Line” | Common: Komodo Reaver | Genetic Slurs: Tongue-Snake; Coldskin | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Komodo Dragon
[09] portrait_ronin_calderoux_bombardier_breacher_v01.png | Origin House: Calderoux | Code: BRX-BMB | Formal: Calderoux BRX-BMB “Chitin Breacher Unit” | Common: Bombardier Breacher | Genetic Slurs: Pissbug; Shellrat | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Bombardier Beetle
[10] portrait_ronin_calderoux_electric_ray_stunner_v01.png | Origin House: Calderoux | Code: BRX-RAY | Formal: Calderoux BRX-RAY “Electro-Stunner Chassis” | Common: Ray Stunner | Genetic Slurs: Pancake; Shockfish | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Electric Ray

[11] portrait_ronin_mournval_vulture_mortician_v01.png | Origin House: Mournval | Code: CAR-VLT | Formal: Mournval CAR-VLT “Carrion Custodian” | Common: Vulture Mortician | Genetic Slurs: Grave-Kite; Pickbeak | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Vulture
[12] portrait_ronin_mournval_hyena_grin_raider_v01.png | Origin House: Mournval | Code: CAR-HYN | Formal: Mournval CAR-HYN “Laugh-Raider Variant” | Common: Grin Raider | Genetic Slurs: Giggle-Mutt; Bone-Snicker | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Hyena
[13] portrait_ronin_mournval_leech_warden_v01.png | Origin House: Mournval | Code: CAR-LCH | Formal: Mournval CAR-LCH “Sanguine Warden Organism” | Common: Leech Warden | Genetic Slurs: Sucker; Drain-Tube | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Leech
[14] portrait_ronin_mournval_mantis_sutureblade_v01.png | Origin House: Mournval | Code: CAR-MNT | Formal: Mournval CAR-MNT “Sutureblade Ritual Guard” | Common: Sutureblade | Genetic Slurs: Prayer-Thing; Scissorlimb | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Praying Mantis
[15] portrait_ronin_mournval_mosquito_siphoner_v01.png | Origin House: Mournval | Code: CAR-MSQ | Formal: Mournval CAR-MSQ “Siphoner Drone-Human” | Common: Siphoner | Genetic Slurs: Needle; Buzz-Leech | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Mosquito

[16] portrait_ronin_dravessa_wild_boar_ramguard_v01.png | Origin House: Dravessa | Code: FER-BOR | Formal: Dravessa FER-BOR “Tusk-Ramguard Line” | Common: Ramguard | Genetic Slurs: Bristleback; Rooter | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Wild Boar
[17] portrait_ronin_dravessa_wolverine_ripper_v01.png | Origin House: Dravessa | Code: FER-WLV | Formal: Dravessa FER-WLV “Ripper Compact Berserker” | Common: Ripper | Genetic Slurs: Stinkbear; Claw-Mutt | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Wolverine
[18] portrait_ronin_dravessa_honey_badger_breaker_v01.png | Origin House: Dravessa | Code: FER-HBD | Formal: Dravessa FER-HBD “Breaker Indomitable” | Common: Breaker | Genetic Slurs: Stripe-Rat; Mean-Mole | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Honey Badger
[19] portrait_ronin_dravessa_cape_buffalo_stampeder_v01.png | Origin House: Dravessa | Code: FER-BFF | Formal: Dravessa FER-BFF “Stampeder Bossline” | Common: Stampeder | Genetic Slurs: Hammerhead; Fence-Bull | Ronin Slurs: Nullbond; Oathless; Scrapcode; Driftblood; Misprint; Dead-Tag | Animal: Cape Buffalo
